Date,Processing Stage,Query,Total Input Tokens,Total Output Tokens,Total Cost
2023-10-11 09:19:56.253806,Individual Analysis,does the article mention first aid,2584,207,0.00429
2023-10-11 09:20:50.519225,Support Analysis,N/A,512,270,0.0013080000000000001
2023-10-11 09:24:38.771640,Individual Analysis,does the article mention first aid,2584,207,0.00429
2023-10-11 09:25:27.922793,Support Analysis,N/A,512,279,0.001326
2023-10-11 09:36:40.365096,Individual Analysis,does the article mention first aid,2584,210,0.004296
2023-10-11 09:37:41.409411,Support Analysis,N/A,587,332,0.0015445
2023-10-11 09:49:06.259526,Individual Analysis,does the article mention first aid,2584,207,0.00429
2023-10-11 09:55:02.303527,Individual Analysis,does the article mention first aid,2584,207,0.00429
2023-10-11 10:08:04.604016,Individual Analysis,does the article mention first aid,2584,207,0.00429
2023-10-11 10:11:53.383208,Individual Analysis,does the article mention first aid,2584,207,0.00429
2023-10-11 10:18:19.879580,Individual Analysis,does the article mention first aid,2584,207,0.00429
2023-10-11 10:23:50.741176,Individual Analysis,does the article mention first aid,2584,207,0.00429
2023-10-11 10:26:15.132560,Individual Analysis,does the article contain first aid,2572,213,0.004284
2023-10-11 10:29:23.336577,Individual Analysis,does the article mention first aid,2584,207,0.00429
2023-10-11 10:34:43.580565,Individual Analysis,does the article mention first aid,2584,207,0.00429
2023-10-11 10:37:46.455063,Individual Analysis,is first aid mentioned,2131,181,0.0035585
2023-10-11 10:38:46.919831,Individual Analysis,is first aid mentioned,2131,181,0.0035585
2023-10-11 10:43:36.985007,Individual Analysis,is first aid mentioned,2131,181,0.0035585
2023-10-11 10:47:09.408500,Individual Analysis,is first aid mentioned,2131,181,0.0035585
2023-10-11 10:47:58.493501,Support Analysis,N/A,405,234,0.0010755
2023-10-11 10:54:46.257827,Individual Analysis,Is first aid mentioned,2131,186,0.0035685
2023-10-11 10:58:17.457336,Individual Analysis,is first aid mentioned,2131,181,0.0035585
2023-10-11 10:59:21.363573,Support Analysis,N/A,405,234,0.0010755
2023-10-11 11:16:53.897323,Individual Analysis,is first aid mentioned,2131,181,0.0035585
2023-10-11 11:17:40.176307,Support Analysis,N/A,405,234,0.0010755
2023-10-11 11:29:29.909900,Individual Analysis,is first aid mentioned,2131,181,0.0035585
2023-10-11 11:30:19.674863,Support Analysis,N/A,382,196,0.000965
2023-10-11 11:31:32.993414,Individual Analysis,is first aid mentioned,2131,184,0.0035645000000000004
2023-10-11 11:32:25.906691,Support Analysis,N/A,400,246,0.001092
2023-10-11 11:33:55.331308,Individual Analysis,is first aid mentioned,2131,181,0.0035585
2023-10-11 11:34:49.083367,Support Analysis,N/A,405,234,0.0010755
2023-10-11 11:44:01.743742,Individual Analysis,is first aid mentioned,2131,181,0.0035585
2023-10-11 11:44:56.111691,Support Analysis,N/A,396,212,0.001018
2023-10-11 11:50:26.971620,Individual Analysis,is first aid mentioned,2131,181,0.0035585
2023-10-11 11:51:16.628342,Support Analysis,N/A,405,234,0.0010755
2023-10-11 11:53:46.032397,Individual Analysis,is first aid mentioned,2131,181,0.0035585
2023-10-11 11:54:32.517867,Support Analysis,N/A,405,234,0.0010755
2023-10-11 11:59:43.161237,Individual Analysis,What are the cultural adaptations of Psychological First Aid,2299,113,0.0036745000000000007
2023-10-11 12:00:23.489929,Support Analysis,N/A,402,206,0.001015
2023-10-11 12:04:47.106873,Individual Analysis,what are the cultural adaptations of Psychological First Aid,2891,48,0.004432500000000001
2023-10-11 12:05:09.098461,Support Analysis,N/A,281,120,0.0006615
2023-10-11 15:36:15.886299,Individual Analysis,Does the article mention Psychological First Aid?,0,0,0.0
2023-10-11 15:38:56.260061,Individual Analysis,Does the article mention Psychological First Aid?,0,0,0.0
2023-10-11 15:42:08.662820,Individual Analysis,Does the article mention Psychological First Aid?,0,0,0.0
2023-10-11 15:47:24.589652,Individual Analysis,Does the article mention Psychological First Aid?,0,0,0.0
2023-10-11 15:48:21.872959,Support Analysis,N/A,38,372,0.000801
2023-10-11 15:55:00.431134,Individual Analysis,Does the article mention Psychological First Aid?,0,0,0.0
2023-10-11 15:56:00.017753,Support Analysis,N/A,38,385,0.000827
2023-10-11 16:04:25.535116,Individual Analysis,Does the article mention Psychological First Aid?,0,0,0.0
2023-10-11 16:05:20.154561,Support Analysis,N/A,38,385,0.000827
2023-10-11 16:08:54.722146,Individual Analysis,How so?,0,0,0.0
2023-10-11 16:09:53.106877,Support Analysis,N/A,38,370,0.000797
2023-10-11 16:13:07.096275,Individual Analysis,does the article mention first aid,1777,183,0.0030315
2023-10-11 16:13:43.450443,Support Analysis,N/A,398,246,0.0010890000000000001
2023-10-11 16:30:18.593977,Individual Analysis,Does the article mention psychological first aid?,2305,211,0.0038795
2023-10-11 16:32:09.575558,Support Analysis,test,0,0,0.0
2023-10-11 16:51:34.949657,Individual Analysis,does the article mention psychological first aid?,2305,205,0.0038675
2023-10-11 16:52:29.081567,Support Analysis,N/A,519,323,0.0014245
2023-10-11 17:22:54.965460,Support Analysis,Is psychological first aid effective in preventing mental disorders? ,0,0,0.0
2023-10-11 17:25:35.978657,Support Analysis,Is psychological first aid effective in preventing mental disorders? ,3004,219,0.0049440000000000005
2023-10-11 17:27:21.937830,Support Analysis,Is psychological first aid effective in preventing mental disorders? ,3004,210,0.004926
2023-10-11 17:34:53.716995,Support Analysis,Is psychological first aid effective in preventing mental disorders? ,3004,219,0.0049440000000000005
